tournamentID,tounamentDate,tournamentTitle,playerCount,playerCountCategory,country
open-lorcana-by-ludotrotter-final-standings-tournament-decks-1502,2024-10-05,Open Lorcana By Ludotrotter - Final Standings,609,more than 64,FR
shimmering-skies-championship-tournament-decks-1499,2024-10-05,Shimmering Skies Championship,15,0 - 16,NL
road-to-lorcana-7-saison-5-tournament-decks-1508,2024-10-04,Road To Lorcana 7 - Saison 5,17,17 - 32,FR
friday-1k-scg-con-washington-dc-tournament-decks-1497,2024-10-04,Friday $1K - SCG CON Washington DC,28,17 - 32,US
lorcana-weekly-tournament-decks-1496,2024-10-03,Lorcana Weekly,27,17 - 32,US
cardtopia-lorcana-tournament-tournament-decks-1484,2024-09-29,Cardtopia Lorcana Tournament,49,33 - 64,FR
hall-of-fame-city-con-lorcana-case-tournament-tournament-decks-1488,2024-09-28,Hall of Fame City Con Lorcana Case Tournament,42,33 - 64,US
d23-collection-tournament-tournament-decks-1487,2024-09-28,D23 Collection Tournament,23,17 - 32,US
3-tintas-open-tournament-decks-1486,2024-09-28,3 Tintas Open,30,17 - 32,ES
standard-set-5-constructed-tournament-decks-1483,2024-09-28,Standard Set 5 Constructed,6,0 - 16,US
international-content-creator-set-championships-tournament-decks-1480,2024-09-27,International Content Creator Set Championships,30,17 - 32,GB
sotto-i-cieli-scintillanti-romani-tournament-decks-1493,2024-09-26,Sotto i cieli scintillanti romani,14,0 - 16,IT
mulligan-challenge-14-tournament-decks-1489,2024-09-26,Mulligan Challenge #14,36,33 - 64,FR
lorcana-locals-tournament-decks-1479,2024-09-26,Lorcana Locals,13,0 - 16,GB
local-enchanted-pika-pika-tournament-decks-1478,2024-09-26,Local Enchanted - Pika Pika,26,17 - 32,IT
dlc-vegas-sunday-8-am-side-event-tournament-decks-1473,2024-09-22,DLC Vegas - Sunday 8 AM Side Event,247,more than 64,US
win-an-enchated-mufasa-ruler-of-pride-rock-tournament-decks-1471,2024-09-22,Win an Enchated - MUFASA Ruler of Pride Rock,17,17 - 32,MX
lorcana-box-tourney-tournament-decks-1469,2024-09-22,Lorcana Box Tourney,8,0 - 16,US
dlc-vegas-sunday-9-am-side-event-tournament-decks-1467,2024-09-22,DLC Vegas - Sunday 9 AM Side Event,318,more than 64,US
dlc-vegas-saturday-10-am-side-event-tournament-decks-1466,2024-09-21,DLC Vegas - Saturday 10 AM Side Event,143,more than 64,US
lorcana-european-challenge-birmingham-2024-final-standings-tournament-decks-1462,2024-09-21,Lorcana European Challenge Birmingham 2024 - Final Standings,2012,more than 64,GB
disney-lorcana-challenge-las-vegas-final-standings-tournament-decks-1460,2024-09-21,Disney Lorcana Challenge: Las Vegas - Final Standings,1904,more than 64,US
lorca-tours-tournoi-d-ouverture-tournament-decks-1459,2024-09-21,Lorca'Tours - Tournoi d'ouverture !,12,0 - 16,FR
dlc-vegas-friday-11-30-am-side-event-tournament-decks-1474,2024-09-20,DLC Vegas - Friday 11:30 AM Side Event,335,more than 64,US
dlc-vegas-friday-11-am-side-event-tournament-decks-1465,2024-09-20,DLC Vegas - Friday 11 AM Side Event,338,more than 64,US
clarabelle-event-tournament-decks-1454,2024-09-15,Clarabelle Event,42,33 - 64,DE
let-the-lore-rage-on-tournament-decks-1450,2024-09-15,Let The Lore Rage On,56,33 - 64,IT
moxcon-24-magnificent-core-constructed-tournament-decks-1448,2024-09-15,MoxCon'24 Magnificent Core Constructed,31,17 - 32,NL
torneo-nortecon-lorcana-tournament-decks-1445,2024-09-15,Torneo NorteCon Lorcana,30,17 - 32,ES
lorcana-1k-tournament-decks-1458,2024-09-14,Lorcana 1k,38,33 - 64,US
lorcana-1k-tournament-decks-1453,2024-09-14,Lorcana 1K,33,33 - 64,US
super-saturday-lorcana-tournament-decks-1449,2024-09-14,Super Saturday Lorcana,15,0 - 16,PT
lorcana-shimmering-skies-two-case-tournament-decks-1446,2024-09-14,Lorcana Shimmering Skies Two Case,27,17 - 32,US
torneo-lorcana-dragonct-tournament-decks-1444,2024-09-14,TORNEO LORCANA DRAGONCT,16,0 - 16,ES
lorcana-win-a-case-tournament-tournament-decks-1443,2024-09-14,Lorcana Win-A-Case Tournament,50,33 - 64,GB
summer-league-tournament-decks-1441,2024-09-14,Summer League,108,more than 64,IT
saturday-play-league-tournament-decks-1439,2024-09-14,Saturday Play League,7,0 - 16,US
1-6k-prechallenge-event-tournament-decks-1438,2024-09-14,1.6k prechallenge event,69,more than 64,BE
win-une-enchantee-rls-tournament-decks-1436,2024-09-13,Win une enchantée RLS,18,17 - 32,FR
mulligan-challenge-13-tournament-decks-1435,2024-09-12,Mulligan Challenge #13,32,33 - 64,FR
win-a-disneyland-ticket-tournament-decks-1442,2024-09-08,Win a Disneyland Ticket,28,17 - 32,IT
le-circuit-des-princesses-3-6-tournament-decks-1432,2024-09-08,Le circuit des princesses (3/6),22,17 - 32,CA
the-mythic-store-september-win-a-box-tournament-decks-1428,2024-09-08,The Mythic Store September Win a box,14,0 - 16,CA
win-a-enchanted-tournament-decks-1420,2024-09-08,Win a Enchanted,31,17 - 32,US
lyon-cup-2024-tournament-decks-1429,2024-09-07,Lyon Cup 2024,241,more than 64,FR
lorcana-constructed-1k-tournament-decks-1427,2024-09-07,Lorcana Constructed 1k!,33,33 - 64,US
rng-games-win-a-case-tournament-decks-1417,2024-09-07,RNG GAMES WIN A CASE,36,33 - 64,GB
disney-lorcana-fundays-constructed-tournament-tournament-decks-1414,2024-09-07,Disney Lorcana Fundays Constructed Tournament,48,33 - 64,BE
disney-lorcana-2k-scg-con-tampa-tournament-decks-1412,2024-09-07,Disney Lorcana $2K - SCG CON Tampa,66,more than 64,US
disney-lorcana-1k-scg-con-tampa-tournament-decks-1409,2024-09-06,Disney Lorcana $1K - SCG CON Tampa,45,33 - 64,US
njds-tournament-2-tournament-decks-1405,2024-09-05,NJDS Tournament #2,31,17 - 32,FR
cuarta-fecha-shimmering-skies-tournament-decks-1404,2024-09-04,Cuarta Fecha - Shimmering Skies,17,17 - 32,MX
east-coast-gamers-tournament-decks-1402,2024-09-04,East Coast Gamers,12,0 - 16,US
sept-lorcana-play-tournament-decks-1400,2024-09-04,Sept Lorcana Play,17,17 - 32,US
lorcana-win-a-box-tournament-decks-1395,2024-09-01,Lorcana Win a Box!!,12,0 - 16,US
double-ursula-s-box-tournament-decks-1394,2024-09-01,Double Ursula's Box,15,0 - 16,PT
malmo-game-week-2024-lorcana-open-tournament-decks-1390,2024-09-01,Malmö Game Week 2024 - Lorcana Open,64,more than 64,SE
bromsgrove-challenge-september-2024-tournament-decks-1385,2024-09-01,Bromsgrove Challenge September 2024,17,17 - 32,GB
charlie-s-collectible-show-lorcana-10-000-tournament-decks-1382,2024-09-01,Charlie's Collectible Show Lorcana $10000,186,more than 64,US
lorcana-anniversary-2024-tournament-tournament-decks-1388,2024-08-31,Lorcana Anniversary 2024 Tournament,62,33 - 64,US
saturday-lorcanas-tournament-decks-1386,2024-08-31,Saturday Lorcanas,10,0 - 16,US
disney-lorcana-quest-tour-2-tournament-decks-1384,2024-08-31,Disney Lorcana Quest Tour #2,92,more than 64,PL
friday-dragoncon-lorcana-250-cash-constructed-event-tournament-decks-1380,2024-08-30,Friday Dragoncon Lorcana $250 CASH Constructed Event,32,33 - 64,US
