date,tournamenttitle,players,playercategory,country,rank,archetype,color,top1,top2,top4,top8,top16,top32
2024-10-12,Lorcana Shimmering Skies Store Championship,14,0 - 16,US,1st,Discard Aggro,emerald/steel,1,0,0,0,0,0
2024-10-12,Lorcana Shimmering Skies Store Championship,14,0 - 16,US,2nd,Discard Aggro,emerald/steel,0,1,0,0,0,0
2024-10-12,Lorcana Shimmering Skies Store Championship,14,0 - 16,US,3rd,Bounce Control,amethyst/ruby,0,0,1,0,0,0
2024-10-12,Lorcana Shimmering Skies Store Championship,14,0 - 16,US,Top4,Bounce Control,amethyst/ruby,0,0,1,0,0,0
2024-10-12,Ogres Den Set Championship,20,17 - 32,CA,1st,Hyper Aggro,amber/amethyst,1,0,0,0,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,1st,Sisu on Ice,ruby/sapphire,1,0,0,0,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,2nd,Discard Aggro,emerald/steel,0,1,0,0,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,3rd,Bounce,amethyst/emerald,0,0,1,0,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,Top4,Discard Aggro,emerald/steel,0,0,1,0,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,Top8,Cogsworth & Friends,sapphire/steel,0,0,0,1,0,0
2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-12,Lorcana Shimmering Skies Championship,20,17 - 32,US,1st,Discard,emerald/steel,1,0,0,0,0,0
2024-10-12,Lorcana Shimmering Skies Championship,20,17 - 32,US,3rd,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-12,Shimmering Skies Store Championship,14,0 - 16,GB,1st,Steelsong,amber/steel,1,0,0,0,0,0
2024-10-12,Shimmering Skies Set Championship,13,0 - 16,GB,2nd,Ramp Draw Control,amethyst/sapphire,0,1,0,0,0,0
