Event,Team,Round,Table,Pairing,Player,PlayerDeck,OpponentTeam,Opponent,OpponentDeck,Play/Draw
Qualification,TeamSecretRare,7,3,A,Erebos,Amethyst Steel,TeamMulligan,Schroedy,Emerald Steel,Draw
Qualification,TeamSecretRare,7,3,B,Mohoo,Amethyst Sapphire,TeamMulligan,Toadsen,Emerald Sapphire,Play
Qualification,TeamSecretRare,7,3,C,Membis,Amethyst Steel,TeamMulligan,Rawwkstar,Amber Steel,Draw
Qualification,TeamSecretRare,7,3,D,BBop,Amber Steel,TeamMulligan,ShakiraShakira,Amethyst Steel,Play
Qualification,DarkWings,8,3,A,Till,Amethyst Steel,InkCrows,Trois,Emerald Sapphire,Draw
Qualification,DarkWings,8,3,B,Percy,Amethyst Steel,InkCrows,Rafa,Amethyst Sapphire,Play
Qualification,DarkWings,8,3,C,Vanni,Amethyst Sapphire,InkCrows,Duy,Amethyst Sapphire,Draw
Qualification,DarkWings,8,3,D,Tommydo0,Emerald Sapphire,InkCrows,Johny,Amethyst Steel,Play
Qualification,DarkWings,9,3,A,Till,Amethyst Steel,TeamSecretRare,BBop,Amber Steel,Draw
Qualification,DarkWings,9,3,B,Percy,Amethyst Steel,TeamSecretRare,Mohoo,Amethyst Sapphire,Play
Qualification,DarkWings,9,3,C,Chupa,Amethyst Sapphire,TeamSecretRare,Membis,Amethyst Steel,Draw
Qualification,DarkWings,9,3,D,MarsiDarsi,Amethyst Steel,TeamSecretRare,Erebos,Amethyst Steel,Play
Qualification,TeamTintenvorrat,10,3,A,LeXtreme,Amethyst Sapphire,TeamSecretRare,BBop,Amber Steel,Play
Qualification,TeamTintenvorrat,10,3,B,CNTPD,Emerald Sapphire,TeamSecretRare,Mohoo,Amethyst Sapphire,Draw
Qualification,TeamTintenvorrat,10,3,C,PusherGene,Amethyst Steel,TeamSecretRare,Erebos,Amethyst Steel,Play
Qualification,TeamTintenvorrat,10,3,D,Paduaner,Amethyst Sapphire,TeamSecretRare,Membis,Amethyst Steel,Draw
Qualification,TeamTintenvorrat,11,3,A,Paduaner,Amethyst Sapphire,TeamInkognito,Carrier,Ruby Amethyst,Draw
Qualification,TeamTintenvorrat,11,3,B,PusherGene,Amethyst Steel,TeamInkognito,xSolutionx,Amethyst Sapphire,Play
Qualification,TeamTintenvorrat,11,3,C,BarisF2,Ruby Amethyst,TeamInkognito,LuckyJo,Amber Emerald,Draw
Qualification,TeamTintenvorrat,11,3,D,LeXtreme,Amethyst Sapphire,TeamInkognito,Kilzin,Amber Emerald,Play
Qualification,TeamInkognito,1,4,A,Kilzin,Amber Emerald,BrothersInLore,Pascaluito,Amethyst Sapphire,Draw
Qualification,TeamInkognito,1,4,B,xSolutionx,Amethyst Sapphire,BrothersInLore,Herolt,Emerald Sapphire,Play
Qualification,TeamInkognito,1,4,C,Carrier,Ruby Amethyst,BrothersInLore,Manun,Emerald Sapphire,Draw
Qualification,TeamInkognito,1,4,D,Bananza,Amethyst Steel,BrothersInLore,Zabrox,Amethyst Sapphire,Play
Qualification,TeamTotaHahn,2,4,A,crazyetwas,Emerald Steel,FloodbornShifters,Rene,Amethyst Steel,Play
Qualification,TeamTotaHahn,2,4,B,Tabea,Amethyst Steel,FloodbornShifters,Marokus,Amber Steel,Draw
Qualification,TeamTotaHahn,2,4,C,Royal,Amber Steel,FloodbornShifters,Saidbjerg,Emerald Sapphire,Play
Qualification,TeamTotaHahn,2,4,D,Hendrik,Amethyst Steel,FloodbornShifters,Adlerkralle,Amber Steel,Draw
Qualification,TeamSecretRare,4,4,A,Quabatchie,Amethyst Sapphire,LorcanaLadies,Himbeerkiller,Emerald Sapphire,Draw
Qualification,TeamSecretRare,4,4,B,BBop,Amber Steel,LorcanaLadies,Poisarella,Amber Emerald,Play
Qualification,TeamSecretRare,4,4,C,Membis,Amethyst Steel,LorcanaLadies,Vika,Amethyst Steel,Draw
Qualification,TeamSecretRare,4,4,D,Prymor,Amber Emerald,LorcanaLadies,Sahrii.Bla,Amber Steel,Play
Qualification,InkCrows,5,4,A,Johny,Amethyst Steel,MROsGlimmerGang,DanW15,Amber Emerald,Draw
Qualification,InkCrows,5,4,B,Duy,Amethyst Sapphire,MROsGlimmerGang,ZenTera,Amber Emerald,Play
Qualification,InkCrows,5,4,C,Trois,Emerald Sapphire,MROsGlimmerGang,Severin,Amber Steel,Draw
Qualification,InkCrows,5,4,D,Rafa,Amethyst Sapphire,MROsGlimmerGang,Maxing,Emerald Sapphire,Play
Qualification,DarkWings,6,4,A,Percy,Amethyst Steel,BBB,TomTom,Amethyst Sapphire,Play
Qualification,DarkWings,6,4,B,MarsiDarsi,Amethyst Steel,BBB,Ina_Sts,Amber Steel,Draw
Qualification,DarkWings,6,4,C,Corvus,Amethyst Steel,BBB,blackchvrch,Amethyst Sapphire,Play
Qualification,DarkWings,6,4,D,Tommydo0,Emerald Sapphire,BBB,Breezy,Amber Steel,Draw
Qualification,InkCrows,7,4,A,Duy,Amethyst Sapphire,TeamMyTradingCards,Smaro,Emerald Sapphire,Play
Qualification,InkCrows,7,4,B,Rafa,Amethyst Sapphire,TeamMyTradingCards,ChuckMoritz,Sapphire Steel,Draw
