Event,Date,Location,Meta,EventType,Type,PlayFormat,Melee
Liga 2025-02-13,2025-02-13,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/244405
Südlore,2025-02-15,Battle Bear Kaiserslautern,Set6,Competetive,Constructed,BestOfThree,https://melee.gg/Tournament/View/232439
Casual 2025-02-20,2025-02-20,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-02-20,2025-02-20,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/2487045
Online 2025-02-21,2025-02-21,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-02-22,2025-02-22,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-02-22,2025-02-22,Home,Set6,Casual,Constructed,BestOfThree,
Casual 2025-02-23,2025-02-23,Home,Set6,Casual,Constructed,BestOfThree,
Casual 2025-02-26,2025-02-26,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2025-02-26,2025-02-26,Wizards Well,Set6,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/238863
Casual 2025-03-05,2025-03-05,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Archazias Island Midnight Release,2025-03-06,Card Club Hockenheim,Set7,Liga,Sealed,BestOfThree,https://melee.gg/Tournament/View/236238
Archazias Island Release,2025-03-08,Wizards Well,Set7,Liga,Sealed,BestOfThree,https://melee.gg/Tournament/View/246777
Archazias Island Release Constructed,2025-03-09,Battle Bear Kaiserslautern,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/258976
Casual 2025-03-12,2025-03-12,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Liga 2025-03-12,2025-03-12,Wizards Well,Set7,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/264142
Casual 2025-03-13,2025-03-13,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
Liga 2025-03-13,2025-03-13,Card Club Hockenheim,Set7,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/264516
Franchises 2025-03-16,2025-03-16,RaumZeitLabor,Set7,Casual,Constructed,BestOfThree,https://melee.gg/Tournament/View/258842
Liga 2025-03-19,2025-03-19,Wizards Well,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/264143
Causal 2025-03-20,2025-03-20,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
Liga 2025-03-20,2025-03-30,Card Club Hockenheim,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/269241
Online 2025-03-21,2025-03-21,Home,Set7,Casual Online,Constructed,BestOfThree,
Casual 2025-03-22,2025-03-22,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
Liga 2025-03-22,2025-03-22,Card Club Hockenheim,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/274099
Casual 2025-03-24,2025-03-24,Home,Set7,Casual,Constructed,BestOfThree,
Online 2025-03-25,2025-03-25,Home,Set7,Casual Online,Constructed,BestOfThree,
Casual 2025-03-26,2025-03-26,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Liga 2025-03-26,2025-03-26,Wizards Well,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/264144
Liga 2025-03-27,2025-03-27,Card Club Hockenheim,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/275404
Casual 2025-03-29,2025-03-29,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
Casual 2025-03-30,2025-03-30,Home,Set7,Casual,Constructed,BestOfThree,
Casual 2025-04-02,2025-04-02,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-02,2025-04-02,Wizards Well,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/278787
Casual 2025-04-03,2025-04-03,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-03,2025-04-03,Card Club Hockenheim,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/280750
Online 2025-04-07,2025-04-07,Home,Set7,Casual Online,Constructed,BestOfThree,
Casual 2025-04-09,2025-04-09,Wizards Well,Set7,Casual,Constructed,BestOfThree,
Liga 2025-04-09,2025-04-09,Wizards Well,Set7,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/278788
Causal 2025-04-10,2025-04-10,Card Club Hockenheim,Set7,Casual,Constructed,BestOfThree,
